,Price,Area,Deposit Fee,Furniture,Ward,District
311,1400000,20,1400000,Nhà trống, Hòa Minh, Liên Chiểu
312,2000000,35,600000,Nhà trống, An Khê, Thanh Khê
313,1200000,20,1000000,Nhà trống, Hòa Minh, Liên Chiểu
314,40000000,80,,, Mỹ An, Ngũ Hành Sơn
315,2400000,23,,Nội thất đầy đủ, Hòa Thuận Đông, Hải Châu
316,800000,15,500000,, Chính Gián, Thanh Khê
317,1600000,30,500000,Nhà trống, Hòa Khánh Nam, Liên Chiểu
318,2000000,18,,Nội thất đầy đủ, Thuận Phước, Hải Châu
319,2200000,18,2200000,Nhà trống, Chính Gián, Thanh Khê
320,900000,16,400000,Nội thất đầy đủ, Mỹ An, Ngũ Hành Sơn
321,800000,15,800000,Nhà trống, Hòa Khánh Bắc, Liên Chiểu
322,1500000,20,1500000,, Hoà Quý, Ngũ Hành Sơn
323,2800000,30,500000,Nội thất đầy đủ, Hải Châu I, Hải Châu
324,1100000,16,500000,Nhà trống, Hòa Minh, Liên Chiểu
325,1000000,22,300000,Nhà trống, Hòa Thọ Tây, Cẩm Lệ
326,1800000,10,,Nhà trống, Hòa Khê, Thanh Khê
327,1800000,18,500000,Nhà trống, Vĩnh Trung, Thanh Khê
328,2000000,12,,, Hòa Thuận Tây, Hải Châu
329,1200000,11,500000,Nội thất cao cấp, Tam Thuận, Thanh Khê
330,1100000,40,50000,Nội thất đầy đủ, Thuận Phước, Hải Châu
331,1500000,12,200000,Nhà trống, Tam Thuận, Thanh Khê
332,2000000,20,,, Hòa Xuân, Cẩm Lệ
333,1200000,25,1000000,, Hòa Xuân, Cẩm Lệ
334,1000000,12,,Nhà trống, Hòa Minh, Liên Chiểu
335,2000000,40,1000,Nhà trống, Chính Gián, Thanh Khê
336,2000000,30,1500000,Nhà trống, Hòa Khê, Thanh Khê
337,3500000,30,3500000,, An Khê, Thanh Khê
338,800000,20,100000,Nhà trống, Hòa Sơn, Hòa Vang
339,3000000,50,3000000,Nội thất đầy đủ, An Hải Bắc, Sơn Trà
340,1500000,20,1000000,Nhà trống, An Hải Tây, Sơn Trà
341,2000000,20,,, Thanh Khê Đông, Thanh Khê
342,1200000,1,,, Chính Gián, Thanh Khê
343,2000000,23,,, Thanh Khê Đông, Thanh Khê
344,2500000,28,,, Hòa Cường Bắc, Hải Châu
345,1200000,16,,Nội thất đầy đủ, Hòa Khánh Bắc, Liên Chiểu
346,3100000,37,3100000,Nội thất đầy đủ, Hòa Thọ Đông, Cẩm Lệ
347,2000000,25,500000,, Hòa Minh, Liên Chiểu
348,1000000,20,100000,Nhà trống, An Khê, Thanh Khê
349,1500000,16,,, Hòa Cường Bắc, Hải Châu
350,2000000,25,2000000,, Thọ Quang, Sơn Trà
351,1300000,10,,Nhà trống, Thanh Khê Tây, Thanh Khê
352,1500000,15,500000,Nội thất đầy đủ, Xuân Hà, Thanh Khê
353,1500000,7,,, Bình Thuận, Hải Châu
354,1300000,20,,, Hòa Minh, Liên Chiểu
355,2700000,20,1300000,, An Hải Bắc, Sơn Trà
356,1600000,20,1600000,, Hòa Cường Bắc, Hải Châu
357,850000,32,1000000,Nội thất cao cấp, Khuê Trung, Cẩm Lệ
358,1600000,24,1000000,, Nại Hiên Đông, Sơn Trà
359,5000000,500000,5000000,Nội thất đầy đủ, Hải Châu I, Hải Châu
360,1500000,20,1500000,Nhà trống, Hòa Khánh Nam, Liên Chiểu
361,2000000,30,,Nhà trống, Hòa Xuân, Cẩm Lệ
362,600000,40,600000,Nội thất đầy đủ, Hòa Khánh Bắc, Liên Chiểu
363,3000000,30,3000000,Nội thất đầy đủ, Khuê Mỹ, Ngũ Hành Sơn
364,1700000,17,500000,Nhà trống, Mỹ An, Ngũ Hành Sơn
365,1000000,20,50000,, Hòa Thuận Tây, Hải Châu
366,2200000,20,1500000,Nhà trống, Thuận Phước, Hải Châu
367,1500000,25,1500000,Nhà trống, Khuê Trung, Cẩm Lệ
368,2300000,22,,Nhà trống, Khuê Trung, Cẩm Lệ
369,1300000,25,1300000,Nhà trống, Thanh Khê Tây, Thanh Khê
370,1000000,25,1000000,, Hòa Cường Nam, Hải Châu
371,1000000,30,200000,Nội thất đầy đủ, Hòa Khánh Nam, Liên Chiểu
372,2800000,50,500000,Nhà trống, Hoà Hải, Ngũ Hành Sơn
373,2000000,27,1000000,Nội thất đầy đủ, Hòa Minh, Liên Chiểu
374,1500000,30,,, Hoà Hải, Ngũ Hành Sơn
375,2500000,30,2500000,Nội thất cao cấp, Hoà Hải, Ngũ Hành Sơn
376,1000000,20,,Nhà trống, Thanh Khê Đông, Thanh Khê
377,2600000,20,,, An Hải Bắc, Sơn Trà
378,900000,30,123456,Nội thất đầy đủ, Hòa Cường Nam, Hải Châu
379,1800000,18,,, Khuê Trung, Cẩm Lệ
380,1100000,20,500000,, Hòa Khánh Bắc, Liên Chiểu
381,1200000,16,,Nhà trống, Hòa Khánh Nam, Liên Chiểu
382,1600000,20,,Nhà trống, Hòa Xuân, Cẩm Lệ
383,1200000,20,500000,Nhà trống, Hòa Khánh Nam, Liên Chiểu
384,3000000,35,3000000,Nhà trống, Hòa Cường Bắc, Hải Châu
385,2500000,25,2500000,Nội thất đầy đủ, Hòa Cường Bắc, Hải Châu
386,3500000,25,,, Hòa Cường Bắc, Hải Châu
387,2930000,80,,Nội thất đầy đủ, Hòa Xuân, Cẩm Lệ
388,2000000,28,1000000,, Hòa Xuân, Cẩm Lệ
389,1500000,18,200000,, Bình Thuận, Hải Châu
390,1200000,28,300000,, Thọ Quang, Sơn Trà
391,1500000,20,500000,, Hòa Phát, Cẩm Lệ
